no,evidence_group,filename,file_type,is_sidecar,parent_file,drive_file_id,drive_size_bytes,drive_theme_folder,match_status
1,01_Tectonic_Terrane_KMZ,"Geological and Tectonic Characteristics of the Lake Terrane, Mongolia.png",image_scan,false,,1azJVLPqSCqlvGi76Ia68L4W-y81Zk3pC,292019,11_Tectonic_and_Terrane_Framework,matched
2,01_Tectonic_Terrane_KMZ,Mongolia_Tectonic_Terrane_Map_Project_Area_Lake_Island_Arc_Terrane.jpg,image_scan,false,,13l6q0KjZ49xbrw131eqUfp_ukSaZgIGO,4366282,11_Tectonic_and_Terrane_Framework,matched
3,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Central_Mongolian_Massif_and_Daagandel_Tectonic_Zone_Page11.jpg,image_scan,false,,1CWIJx9hB2os6_qXEdb4VwH7mwYQY8jw6,1079294,11_Tectonic_and_Terrane_Framework,matched
4,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Nuur_Accretionary_Megazone_Part1_Page08.jpg,image_scan,false,,1yN5epbmTCpHSPTnudDn5BwIX-nY0IKc9,1079294,11_Tectonic_and_Terrane_Framework,matched
5,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Nuur_Accretionary_Megazone_Part2_Page09.jpg,image_scan,false,,1B-mjMbJKe0uYff7VJwFdT0SNLdauB6oR,1079294,11_Tectonic_and_Terrane_Framework,matched
6,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Nuur_Accretionary_Megazone_Part3_Page10.jpg,image_scan,false,,1lZECooQx-2OQ56cDbaiTiHR8D08YJnDi,1079294,11_Tectonic_and_Terrane_Framework,matched
7,01_Tectonic_Terrane_KMZ,Regional_Tectonic_Subdivision_Map_of_Mongolia_Tumurtogoo_2017_Buduunkhad_Project_in_Ulaanshand_Zone.jpg,image_scan,false,,1XotphyYW9HOvrU-CNh3ieLpBP5UvQXCs,2644996,11_Tectonic_and_Terrane_Framework,matched
8,01_Tectonic_Terrane_KMZ,MN_BuduunKhad_L23222_LicenseBoundary_WGS84_v01_raw.kmz,kmz,false,,1WA4jpRS2ng3pvtzpE_9M7iBV97S397VD,3256,01_License_boundary,matched
9,02_DEM_ALOS_ASTERGDEM,ASTER-GDEM-v3_N45E096_DEM_1arcsec_WGS84_v01_raw.tif,raster,false,,1QLvPLWPCDtRQPXceEdNUk27CyANpMtkp,22143624,10_DEM_Topography_and_Terrain,matched
10,02_DEM_ALOS_ASTERGDEM,ASTER-GDEM-v3_N45E096_NumObservations_1arcsec_WGS84_v01_raw.tif,raster,false,,1B5wGcxM7sSzgC3AZBBMVh8s_A8MrS7In,3904970,10_DEM_Topography_and_Terrain,matched
